Exchange,Name," Root
Ticker "," QMV (C$)
30-September-2014 "," O/S Shares
30-September-2014 ", Sub-Sector ,Sector,Type of Listing,Date of Listing,QT Date,RTO Date,Date of Amalgamation,Interlisted,"CPC/
Former
CPC","HQ
Location","HQ
Region",USA City,USA State,Cleantech Sub-Sector, Diversified Industries Sub-Sector ,Section," Volume YTD
30-September-2014 "," Value (C$) YTD
30-September-2014 "," Number of 
Trades YTD
30-September-2014 "," Number of
Months in
Trading Data ",AFRICA,AUS/NZ/PNG,CANADA,CHINA & ASIA,LATIN AMERICA,OTHER,UK/EUROPE,USA,Oil and Gas
TSXV, Gemini Corporation , GKX ,"  33,637,044 ","  57,011,939 ", Energy Services ,Diversified Industries,QT,,19960212,,,,Yes,AB,Canada,,,,Industrial Products and Services, Tier1 ,"  10,441,117 ","  8,819,064 ","  2,311 ",9,,,,,,,,,
TSXV, Great Prairie Energy Services Inc. , GPE ,"  21,864,653 ","  118,261,633 ", Energy Services ,Diversified Industries,QT,20111107,20131106,,,,Yes,AB,Canada,,,,Industrial Products and Services, Tier1 ,"  45,143,748 ","  17,123,268 ","  4,350 ",9,,,,,,,,,
TSXV, Intercept Energy Services Inc. , IES ,"  5,483,691 ","  121,859,795 ", Energy Services ,Diversified Industries,,,,,,,No,BC,Canada,,,,Industrial Products and Services, Tier2 ,"  10,274,923 ","  436,134 ",  568 ,9,,,,,,,,,
TSXV, Leader Energy Services Ltd. , LEA ,"  881,641 ","  29,388,021 ", Energy Services ,Diversified Industries,,20041104,,,,,No,AB,Canada,,,,Industrial Products and Services, Tier2 ,"  7,773,654 ","  356,646 ",  675 ,9,,,,,,,,,
TSXV, Lonestar West Inc , LSI ,"  90,389,964 ","  29,158,053 ", Energy Services ,Diversified Industries,IPO,20090109,,,,,No,AB,Canada,,,,Industrial Products and Services, Tier1 ,"  13,537,329 ","  43,943,397 ","  7,101 ",9,,,,,,,,,
TSXV, MATRRIX Energy Technologies Inc , MXX ,"  26,391,403 ","  32,184,638 ", Energy Services ,Diversified Industries,QT,20091016,20110921,,,,Yes,AB,Canada,,,,Industrial Products and Services, Tier2 ,"  1,355,591 ","  986,973 ",  338 ,9,,,,,,,,,
TSXV, Northern Frontier Corp. , FFF ,"  13,079,168 ","  11,220,409 ", Energy Services ,Diversified Industries,QT,20120213,20131002,,,,Yes,AB,Canada,,,,Industrial Products and Services, Tier1 ,"  3,191,850 ","  7,895,375 ","  1,607 ",9,,,,,,,,,
TSXV, NXT Energy Solutions Inc , SFD ,"  80,542,841 ","  48,813,843 ", Energy Services ,Diversified Industries,Other,20071203,,,,,No,AB,Canada,,,,Industrial Products and Services, Tier2 ,"  7,541,821 ","  10,514,104 ","  4,921 ",9,,,,,,,,,
TSXV, ONEnergy Inc. , OEG ,"  15,884,652 ","  211,130,095 ", Energy Services ,Diversified Industries,,,,,,,No,ON,Canada,,,,Industrial Products and Services, Tier1 ,"  3,499,879 ","  321,752 ",  479 ,9,,,,,,,,,
TSXV, Raise Production Inc , RPC ,"  118,220,034 ","  85,666,691 ", Energy Services ,Diversified Industries,,20050817,,,,,No,AB,Canada,,,,Industrial Products and Services, Tier1 ,"  25,410,764 ","  52,630,534 ","  12,952 ",9,,,,,,,,,
TSXV, Seaway Energy Services Inc , SEW ,"  574,384 ","  4,102,746 ", Energy Services ,Diversified Industries,QT,20051215,20061010,,,,Yes,AB,Canada,,,,Industrial Products and Services, Tier2 ,"  13,476,132 ","  458,184 ",  565 ,6,,,,,,,,,
TSXV, Titan Logix Corp. , TLA ,"  33,853,010 ","  25,263,440 ", Energy Services ,Diversified Industries,,20020702,,,,,No,AB,Canada,,,,Industrial Products and Services, Tier1 ,"  5,056,810 ","  6,879,526 ","  1,937 ",9,,,,,,,,,
TSXV, Cabo Drilling Corp. , CBE ,"  2,369,045 ","  78,968,175 ", Mining Services ,Diversified Industries,,,,,,,No,BC,Canada,,,,Industrial Products and Services, Tier2 ,"  5,026,561 ","  211,394 ",  341 ,9,,,,,,,,,
TSXV, Energold Drilling Corp. , EGD ,"  71,994,371 ","  47,996,247 ", Mining Services ,Diversified Industries,,20050905,,,,,No,BC,Canada,,,,Industrial Products and Services, Tier1 ,"  5,528,626 ","  9,282,918 ","  7,318 ",9,,,,,,,,,
TSXV, Macro Enterprises Inc. , MCR ,"  90,033,414 ","  30,159,152 ", Energy Services ,Utilities & Pipelines,QT,,20060208,,,,Yes,AB,Canada,,,,, Tier1 ,"  16,129,690 ","  79,433,044 ","  28,906 ",9,,,,,,,,,

