Symbol,Market Cap (intraday),Enterprise Value,Profit Margin %,Revenue Variance,Debt/Equity (mrq),Levered Free Cash Flow (ttm),52-Week Change
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lvs,51640000000.0,51440000000.0,18.19,14820000000.0,118.77,N/A,-11.68
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
mfc,33220000000.0,23860000000.0,10.24,34470000000.0,51.1,2280000000.0,-1.14
ma,82850000000.0,77830000000.0,37.12,8900000000.0,23.66,3610000000.0,-0.92
mcd,89320000000.0,100050000000.0,19.48,28300000000.0,95.52,4120000000.0,-0.65
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
orcl,167280000000.0,147390000000.0,28.44,38500000000.0,67.95,12030000000.0,14.16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sdrl,10820000000.0,22860000000.0,87.22,4800000000.0,126.33,-2240000000.0,-51.01
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
tri,28640000000.0,35900000000.0,3.56,12650000000.0,50.38,1720000000.0,1.54
tyc,17850000000.0,16540000000.0,19.34,10820000000.0,24.22,7232500000.0,8.26
vtr,19350000000.0,28990000000.0,16.57,2930000000.0,107.89,1380000000.0,0.93
viab,29400000000.0,40060000000.0,18.32,13440000000.0,290.41,6270000000.0,-18.42
v,129570000000.0,123470000000.0,44.65,12450000000.0,N/A,5260000000.0,1.27
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
wag,57730000000.0,59600000000.0,2.53,76390000000.0,21.94,2440000000.0,9.75
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
